Canton;Year;Week;Ending;Age;NoDeaths_EP;Expected;LowerB;UpperB;Diff
BL  ;        2021;          25;27.06.2021;65+     ;          39;          37;          22;          53;           .
BL  ;        2021;          26;04.07.2021;65+     ;          37;          37;          22;          53;           .
BL  ;        2021;          27;11.07.2021;65+     ;          52;          37;          22;          53;           .
BL  ;        2021;          28;18.07.2021;65+     ;          38;          38;          22;          53;           .
BL  ;        2021;          29;25.07.2021;65+     ;          31;          38;          22;          54;           .
BL  ;        2021;          30;01.08.2021;65+     ;          33;          38;          22;          54;           .
BL  ;        2021;          31;08.08.2021;65+     ;          33;          38;          22;          54;           .
BL  ;        2021;          32;15.08.2021;65+     ;          33;          38;          22;          54;           .
BL  ;        2021;          33;22.08.2021;65+     ;          49;          38;          22;          54;           .
BL  ;        2021;          34;29.08.2021;65+     ;          46;          38;          22;          54;           .
BL  ;        2021;          35;05.09.2021;65+     ;          33;          39;          23;          55;           .
BL  ;        2021;          36;12.09.2021;65+     ;          41;          39;          23;          55;           .
BL  ;        2021;          37;19.09.2021;65+     ;          44;          39;          23;          55;           .
BL  ;        2021;          38;26.09.2021;65+     ;          46;          40;          24;          56;           .
BL  ;        2021;          39;03.10.2021;65+     ;          40;          40;          24;          57;           .
BL  ;        2021;          40;10.10.2021;65+     ;          43;          41;          24;          57;           .
BL  ;        2021;          41;17.10.2021;65+     ;          43;          41;          25;          58;           .
BL  ;        2021;          42;24.10.2021;65+     ;          32;          42;          25;          58;           .
BL  ;        2021;          43;31.10.2021;65+     ;          43;          42;          26;          59;           .
BL  ;        2021;          44;07.11.2021;65+     ;          47;          43;          26;          60;           .
BL  ;        2021;          45;14.11.2021;65+     ;          53;          43;          26;          60;           .
BL  ;        2021;          46;21.11.2021;65+     ;          62;          43;          26;          60;18.595622957
BL  ;        2021;          47;28.11.2021;65+     ;          69;          44;          27;          61;25.293835945
BL  ;        2021;          48;05.12.2021;65+     ;          55;          44;          27;          61;           .
BL  ;        2021;          49;12.12.2021;65+     ;          51;          44;          27;          61;           .
BL  ;        2021;          50;19.12.2021;65+     ;          55;          44;          27;          61;           .
BL  ;        2021;          51;26.12.2021;65+     ;          50;          44;          27;          61;           .
BL  ;        2021;          52;02.01.2022;65+     ;          62;          44;          27;          62;17.597590491
BL  ;        2022;           1;09.01.2022;65+     ;        61.4;          45;          29;          63;           .
BL  ;        2022;           2;16.01.2022;65+     ;        53.5;          45;          29;          64;           .
BL  ;        2022;           3;23.01.2022;65+     ;          48;          46;          29;          64;           .
BL  ;        2022;           4;30.01.2022;65+     ;        51.3;          46;          30;          65;           .
BL  ;        2022;           5;06.02.2022;65+     ;           .;          47;          30;          65;           .
BL  ;        2022;           6;13.02.2022;65+     ;           .;          47;          30;          66;           .
BL  ;        2022;           7;20.02.2022;65+     ;           .;          47;          30;          66;           .
BL  ;        2022;           8;27.02.2022;65+     ;           .;          47;          31;          66;           .
BL  ;        2022;           9;06.03.2022;65+     ;           .;          48;          31;          66;           .
BL  ;        2022;          10;13.03.2022;65+     ;           .;          47;          30;          65;           .
BL  ;        2022;          11;20.03.2022;65+     ;           .;          46;          30;          65;           .
BL  ;        2022;          12;27.03.2022;65+     ;           .;          45;          29;          64;           .
BL  ;        2022;          13;03.04.2022;65+     ;           .;          45;          28;          63;           .
BL  ;        2022;          14;10.04.2022;65+     ;           .;          44;          28;          61;           .
BL  ;        2022;          15;17.04.2022;65+     ;           .;          43;          27;          60;           .
BL  ;        2022;          16;24.04.2022;65+     ;           .;          42;          26;          59;           .
BL  ;        2022;          17;01.05.2022;65+     ;           .;          41;          26;          59;           .
BL  ;        2022;          18;08.05.2022;65+     ;           .;          41;          25;          58;           .
BL  ;        2022;          19;15.05.2022;65+     ;           .;          40;          25;          57;           .
BL  ;        2022;          20;22.05.2022;65+     ;           .;          39;          24;          57;           .
BL  ;        2022;          21;29.05.2022;65+     ;           .;          39;          24;          56;           .
BL  ;        2022;          22;05.06.2022;65+     ;           .;          39;          24;          56;           .
BL  ;        2022;          23;12.06.2022;65+     ;           .;          39;          24;          56;           .
BL  ;        2022;          24;19.06.2022;65+     ;           .;          39;          24;          56;           .
BL  ;        2022;          25;26.06.2022;65+     ;           .;          40;          25;          57;           .
BL  ;        2022;          26;03.07.2022;65+     ;           .;          40;          25;          58;           .
BL  ;        2022;          27;10.07.2022;65+     ;           .;          40;          25;          58;           .
BL  ;        2022;          28;17.07.2022;65+     ;           .;          40;          25;          57;           .
BL  ;        2022;          29;24.07.2022;65+     ;           .;          39;          24;          56;           .
BL  ;        2022;          30;31.07.2022;65+     ;           .;          39;          24;          56;           .
BL  ;        2022;          31;07.08.2022;65+     ;           .;          39;          24;          56;           .
BL  ;        2022;          32;14.08.2022;65+     ;           .;          39;          24;          56;           .
BL  ;        2022;          33;21.08.2022;65+     ;           .;          40;          24;          57;           .
BL  ;        2022;          34;28.08.2022;65+     ;           .;          40;          25;          58;           .
BL  ;        2022;          35;04.09.2022;65+     ;           .;          41;          25;          58;           .
BL  ;        2022;          36;11.09.2022;65+     ;           .;          41;          26;          59;           .
BL  ;        2022;          37;18.09.2022;65+     ;           .;          41;          26;          59;           .
BL  ;        2022;          38;25.09.2022;65+     ;           .;          42;          26;          59;           .
BL  ;        2022;          39;02.10.2022;65+     ;           .;          42;          26;          59;           .
BL  ;        2022;          40;09.10.2022;65+     ;           .;          42;          26;          60;           .
BL  ;        2022;          41;16.10.2022;65+     ;           .;          43;          27;          61;           .
BL  ;        2022;          42;23.10.2022;65+     ;           .;          43;          27;          61;           .
BL  ;        2022;          43;30.10.2022;65+     ;           .;          44;          28;          62;           .
BL  ;        2022;          44;06.11.2022;65+     ;           .;          44;          28;          62;           .
BL  ;        2022;          45;13.11.2022;65+     ;           .;          44;          28;          62;           .
BL  ;        2022;          46;20.11.2022;65+     ;           .;          44;          28;          62;           .
BL  ;        2022;          47;27.11.2022;65+     ;           .;          44;          28;          62;           .
BL  ;        2022;          48;04.12.2022;65+     ;           .;          44;          28;          62;           .
BL  ;        2022;          49;11.12.2022;65+     ;           .;          44;          28;          62;           .
BL  ;        2022;          50;18.12.2022;65+     ;           .;          44;          28;          62;           .
BL  ;        2022;          51;25.12.2022;65+     ;           .;          44;          28;          62;           .
BL  ;        2022;          52;01.01.2023;65+     ;           .;          44;          28;          62;           .
BS  ;        2020;           1;05.01.2020;0-64    ;           4;           4;           0;          10;           .
BS  ;        2020;           2;12.01.2020;0-64    ;           6;           4;           0;          10;           .
BS  ;        2020;           3;19.01.2020;0-64    ;           6;           4;           0;          10;           .
BS  ;        2020;           4;26.01.2020;0-64    ;           1;           4;           0;          10;           .
BS  ;        2020;           5;02.02.2020;0-64    ;           3;           4;           0;          10;           .
BS  ;        2020;           6;09.02.2020;0-64    ;           5;           4;           0;          10;           .
BS  ;        2020;           7;16.02.2020;0-64    ;           2;           4;           0;          10;           .
BS  ;        2020;           8;23.02.2020;0-64    ;           5;           4;           0;          10;           .
BS  ;        2020;           9;01.03.2020;0-64    ;           3;           4;           0;          10;           .
BS  ;        2020;          10;08.03.2020;0-64    ;           3;           4;           0;          10;           .
BS  ;        2020;          11;15.03.2020;0-64    ;           4;           4;           0;          10;           .
BS  ;        2020;          12;22.03.2020;0-64    ;           5;           4;           0;          10;           .
BS  ;        2020;          13;29.03.2020;0-64    ;           6;           4;           0;          10;           .
BS  ;        2020;          14;05.04.2020;0-64    ;           5;           4;           0;           9;           .
BS  ;        2020;          15;12.04.2020;0-64    ;           5;           4;           0;           9;           .
BS  ;        2020;          16;19.04.2020;0-64    ;           7;           4;           0;           9;           .
BS  ;        2020;          17;26.04.2020;0-64    ;           9;           4;           0;           9;           .
BS  ;        2020;          18;03.05.2020;0-64    ;           4;           4;           0;           9;           .
BS  ;        2020;          19;10.05.2020;0-64    ;           2;           4;           0;           9;           .
BS  ;        2020;          20;17.05.2020;0-64    ;           7;           4;           0;           9;           .
BS  ;        2020;          21;24.05.2020;0-64    ;           1;           4;           0;           9;           .
BS  ;        2020;          22;31.05.2020;0-64    ;           3;           4;           0;           9;           .
BS  ;        2020;          23;07.06.2020;0-64    ;           5;           4;           0;           9;           .
BS  ;        2020;          24;14.06.2020;0-64    ;           2;           4;           0;           9;           .
BS  ;        2020;          25;21.06.2020;0-64    ;           4;           4;           0;           9;           .
BS  ;        2020;          26;28.06.2020;0-64    ;           5;           4;           0;           9;           .
BS  ;        2020;          27;05.07.2020;0-64    ;           5;           4;           0;           9;           .
BS  ;        2020;          28;12.07.2020;0-64    ;           3;           4;           0;           9;           .
BS  ;        2020;          29;19.07.2020;0-64    ;           6;           4;           0;           9;           .
BS  ;        2020;          30;26.07.2020;0-64    ;           4;           4;           0;           9;           .
BS  ;        2020;          31;02.08.2020;0-64    ;           3;           4;           0;           9;           .
BS  ;        2020;          32;09.08.2020;0-64    ;           5;           4;           0;           9;           .
BS  ;        2020;          33;16.08.2020;0-64    ;           7;           4;           0;           9;           .
BS  ;        2020;          34;23.08.2020;0-64    ;           4;           4;           0;           9;           .
BS  ;        2020;          35;30.08.2020;0-64    ;           5;           4;           0;           9;           .
BS  ;        2020;          36;06.09.2020;0-64    ;           4;           4;           0;           9;           .
BS  ;        2020;          37;13.09.2020;0-64    ;           6;           4;           0;           9;           .
BS  ;        2020;          38;20.09.2020;0-64    ;           3;           4;           0;           9;           .
BS  ;        2020;          39;27.09.2020;0-64    ;           0;           4;           0;           9;           .
BS  ;        2020;          40;04.10.2020;0-64    ;           5;           4;           0;           9;           .
BS  ;        2020;          41;11.10.2020;0-64    ;           5;           4;           0;           9;           .
BS  ;        2020;          42;18.10.2020;0-64    ;           4;           4;           0;           9;           .
BS  ;        2020;          43;25.10.2020;0-64    ;           4;           4;           0;           9;           .
BS  ;        2020;          44;01.11.2020;0-64    ;           3;           4;           0;           9;           .
BS  ;        2020;          45;08.11.2020;0-64    ;           3;           4;           0;           9;           .
BS  ;        2020;          46;15.11.2020;0-64    ;           2;           4;           0;           9;           .
