Region_NUTS2;Year;Week;Ending;Age;NoDeaths_EP;Expected;LowerB;UpperB;Diff
CH01;        2022;           3;23.01.2022;0-64    ;        32.8;          31;          18;          47;           .
CH01;        2022;           4;30.01.2022;0-64    ;        40.3;          31;          18;          47;           .
CH01;        2022;           5;06.02.2022;0-64    ;           .;          31;          18;          47;           .
CH01;        2022;           6;13.02.2022;0-64    ;           .;          32;          18;          47;           .
CH01;        2022;           7;20.02.2022;0-64    ;           .;          32;          18;          47;           .
CH01;        2022;           8;27.02.2022;0-64    ;           .;          32;          18;          47;           .
CH01;        2022;           9;06.03.2022;0-64    ;           .;          32;          18;          47;           .
CH01;        2022;          10;13.03.2022;0-64    ;           .;          32;          18;          47;           .
CH01;        2022;          11;20.03.2022;0-64    ;           .;          32;          18;          47;           .
CH01;        2022;          12;27.03.2022;0-64    ;           .;          32;          18;          47;           .
CH01;        2022;          13;03.04.2022;0-64    ;           .;          32;          18;          47;           .
CH01;        2022;          14;10.04.2022;0-64    ;           .;          31;          18;          47;           .
CH01;        2022;          15;17.04.2022;0-64    ;           .;          31;          18;          46;           .
CH01;        2022;          16;24.04.2022;0-64    ;           .;          31;          18;          46;           .
CH01;        2022;          17;01.05.2022;0-64    ;           .;          31;          17;          46;           .
CH01;        2022;          18;08.05.2022;0-64    ;           .;          30;          17;          45;           .
CH01;        2022;          19;15.05.2022;0-64    ;           .;          30;          17;          45;           .
CH01;        2022;          20;22.05.2022;0-64    ;           .;          30;          17;          45;           .
CH01;        2022;          21;29.05.2022;0-64    ;           .;          30;          17;          44;           .
CH01;        2022;          22;05.06.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          23;12.06.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          24;19.06.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          25;26.06.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          26;03.07.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          27;10.07.2022;0-64    ;           .;          29;          16;          43;           .
CH01;        2022;          28;17.07.2022;0-64    ;           .;          29;          16;          43;           .
CH01;        2022;          29;24.07.2022;0-64    ;           .;          29;          16;          43;           .
CH01;        2022;          30;31.07.2022;0-64    ;           .;          29;          16;          43;           .
CH01;        2022;          31;07.08.2022;0-64    ;           .;          29;          16;          43;           .
CH01;        2022;          32;14.08.2022;0-64    ;           .;          29;          16;          43;           .
CH01;        2022;          33;21.08.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          34;28.08.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          35;04.09.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          36;11.09.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          37;18.09.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          38;25.09.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          39;02.10.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          40;09.10.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          41;16.10.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          42;23.10.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          43;30.10.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          44;06.11.2022;0-64    ;           .;          29;          16;          44;           .
CH01;        2022;          45;13.11.2022;0-64    ;           .;          30;          17;          45;           .
CH01;        2022;          46;20.11.2022;0-64    ;           .;          30;          17;          45;           .
CH01;        2022;          47;27.11.2022;0-64    ;           .;          30;          17;          45;           .
CH01;        2022;          48;04.12.2022;0-64    ;           .;          30;          17;          45;           .
CH01;        2022;          49;11.12.2022;0-64    ;           .;          30;          17;          45;           .
CH01;        2022;          50;18.12.2022;0-64    ;           .;          30;          17;          46;           .
CH01;        2022;          51;25.12.2022;0-64    ;           .;          31;          17;          46;           .
CH01;        2022;          52;01.01.2023;0-64    ;           .;          31;          18;          46;           .
CH02;        2020;           1;05.01.2020;0-64    ;          28;          40;          24;          56;           .
CH02;        2020;           2;12.01.2020;0-64    ;          40;          40;          24;          56;           .
CH02;        2020;           3;19.01.2020;0-64    ;          43;          40;          24;          56;           .
CH02;        2020;           4;26.01.2020;0-64    ;          45;          40;          23;          56;           .
CH02;        2020;           5;02.02.2020;0-64    ;          45;          39;          23;          56;           .
CH02;        2020;           6;09.02.2020;0-64    ;          53;          39;          23;          55;           .
CH02;        2020;           7;16.02.2020;0-64    ;          44;          39;          23;          55;           .
CH02;        2020;           8;23.02.2020;0-64    ;          48;          39;          23;          55;           .
CH02;        2020;           9;01.03.2020;0-64    ;          44;          39;          23;          55;           .
CH02;        2020;          10;08.03.2020;0-64    ;          33;          39;          23;          55;           .
CH02;        2020;          11;15.03.2020;0-64    ;          36;          39;          23;          54;           .
CH02;        2020;          12;22.03.2020;0-64    ;          45;          38;          22;          54;           .
CH02;        2020;          13;29.03.2020;0-64    ;          52;          38;          22;          54;           .
CH02;        2020;          14;05.04.2020;0-64    ;          42;          38;          22;          54;           .
CH02;        2020;          15;12.04.2020;0-64    ;          39;          38;          22;          54;           .
CH02;        2020;          16;19.04.2020;0-64    ;          40;          38;          22;          54;           .
CH02;        2020;          17;26.04.2020;0-64    ;          36;          38;          22;          53;           .
CH02;        2020;          18;03.05.2020;0-64    ;          31;          37;          22;          53;           .
CH02;        2020;          19;10.05.2020;0-64    ;          43;          37;          22;          53;           .
CH02;        2020;          20;17.05.2020;0-64    ;          48;          37;          21;          53;           .
CH02;        2020;          21;24.05.2020;0-64    ;          30;          37;          21;          53;           .
CH02;        2020;          22;31.05.2020;0-64    ;          48;          37;          21;          53;           .
CH02;        2020;          23;07.06.2020;0-64    ;          29;          37;          21;          52;           .
CH02;        2020;          24;14.06.2020;0-64    ;          34;          37;          21;          52;           .
CH02;        2020;          25;21.06.2020;0-64    ;          36;          37;          21;          52;           .
CH02;        2020;          26;28.06.2020;0-64    ;          41;          37;          21;          52;           .
CH02;        2020;          27;05.07.2020;0-64    ;          38;          36;          21;          52;           .
CH02;        2020;          28;12.07.2020;0-64    ;          38;          36;          21;          52;           .
CH02;        2020;          29;19.07.2020;0-64    ;          29;          36;          21;          52;           .
CH02;        2020;          30;26.07.2020;0-64    ;          38;          36;          21;          52;           .
CH02;        2020;          31;02.08.2020;0-64    ;          45;          36;          21;          52;           .
CH02;        2020;          32;09.08.2020;0-64    ;          40;          36;          21;          52;           .
CH02;        2020;          33;16.08.2020;0-64    ;          47;          36;          21;          52;           .
CH02;        2020;          34;23.08.2020;0-64    ;          34;          36;          21;          51;           .
CH02;        2020;          35;30.08.2020;0-64    ;          38;          36;          21;          52;           .
CH02;        2020;          36;06.09.2020;0-64    ;          40;          36;          21;          52;           .
CH02;        2020;          37;13.09.2020;0-64    ;          42;          36;          21;          52;           .
CH02;        2020;          38;20.09.2020;0-64    ;          32;          36;          21;          52;           .
