Region_NUTS2;Year;Week;Ending;Age;NoDeaths_EP;Expected;LowerB;UpperB;Diff
CH02;        2020;          39;27.09.2020;0-64    ;          51;          36;          21;          52;           .
CH02;        2020;          40;04.10.2020;0-64    ;          42;          36;          21;          52;           .
CH02;        2020;          41;11.10.2020;0-64    ;          48;          37;          21;          52;           .
CH02;        2020;          42;18.10.2020;0-64    ;          36;          37;          21;          53;           .
CH02;        2020;          43;25.10.2020;0-64    ;          35;          37;          21;          53;           .
CH02;        2020;          44;01.11.2020;0-64    ;          32;          37;          22;          53;           .
CH02;        2020;          45;08.11.2020;0-64    ;          48;          38;          22;          53;           .
CH02;        2020;          46;15.11.2020;0-64    ;          37;          38;          22;          54;           .
CH02;        2020;          47;22.11.2020;0-64    ;          35;          38;          22;          54;           .
CH02;        2020;          48;29.11.2020;0-64    ;          35;          38;          22;          54;           .
CH02;        2020;          49;06.12.2020;0-64    ;          39;          39;          23;          55;           .
CH02;        2020;          50;13.12.2020;0-64    ;          43;          39;          23;          55;           .
CH02;        2020;          51;20.12.2020;0-64    ;          48;          39;          23;          55;           .
CH02;        2020;          52;27.12.2020;0-64    ;          32;          39;          23;          56;           .
CH02;        2020;          53;03.01.2021;0-64    ;          45;          40;          23;          56;           .
CH02;        2021;           1;10.01.2021;0-64    ;          38;          40;          24;          56;           .
CH02;        2021;           2;17.01.2021;0-64    ;          43;          40;          24;          56;           .
CH02;        2021;           3;24.01.2021;0-64    ;          45;          40;          24;          56;           .
CH02;        2021;           4;31.01.2021;0-64    ;          38;          40;          23;          56;           .
CH02;        2021;           5;07.02.2021;0-64    ;          42;          39;          23;          56;           .
CH02;        2021;           6;14.02.2021;0-64    ;          43;          39;          23;          55;           .
CH02;        2021;           7;21.02.2021;0-64    ;          37;          39;          23;          55;           .
CH02;        2021;           8;28.02.2021;0-64    ;          32;          39;          23;          55;           .
CH02;        2021;           9;07.03.2021;0-64    ;          47;          39;          23;          55;           .
CH02;        2021;          10;14.03.2021;0-64    ;          41;          39;          23;          55;           .
CH02;        2021;          11;21.03.2021;0-64    ;          34;          39;          23;          54;           .
CH02;        2021;          12;28.03.2021;0-64    ;          35;          38;          22;          54;           .
CH02;        2021;          13;04.04.2021;0-64    ;          37;          38;          22;          54;           .
CH02;        2021;          14;11.04.2021;0-64    ;          43;          38;          22;          54;           .
CH02;        2021;          15;18.04.2021;0-64    ;          36;          38;          22;          54;           .
CH02;        2021;          16;25.04.2021;0-64    ;          45;          38;          22;          54;           .
CH02;        2021;          17;02.05.2021;0-64    ;          39;          38;          22;          53;           .
CH02;        2021;          18;09.05.2021;0-64    ;          33;          37;          22;          53;           .
CH02;        2021;          19;16.05.2021;0-64    ;          44;          37;          22;          53;           .
CH02;        2021;          20;23.05.2021;0-64    ;          34;          37;          21;          53;           .
CH02;        2021;          21;30.05.2021;0-64    ;          34;          37;          21;          53;           .
CH02;        2021;          22;06.06.2021;0-64    ;          38;          37;          21;          53;           .
CH02;        2021;          23;13.06.2021;0-64    ;          32;          37;          21;          52;           .
CH02;        2021;          24;20.06.2021;0-64    ;          33;          37;          21;          52;           .
CH02;        2021;          25;27.06.2021;0-64    ;          43;          37;          21;          52;           .
CH02;        2021;          26;04.07.2021;0-64    ;          40;          37;          21;          52;           .
CH02;        2021;          27;11.07.2021;0-64    ;          43;          36;          21;          52;           .
CH02;        2021;          28;18.07.2021;0-64    ;          29;          36;          21;          52;           .
CH02;        2021;          29;25.07.2021;0-64    ;          46;          36;          21;          52;           .
CH02;        2021;          30;01.08.2021;0-64    ;          30;          36;          21;          52;           .
CH02;        2021;          31;08.08.2021;0-64    ;          24;          36;          21;          52;           .
CH02;        2021;          32;15.08.2021;0-64    ;          52;          36;          21;          52;          16
CH02;        2021;          33;22.08.2021;0-64    ;          37;          36;          21;          52;           .
CH02;        2021;          34;29.08.2021;0-64    ;          51;          36;          21;          51;           .
CH02;        2021;          35;05.09.2021;0-64    ;          42;          36;          21;          52;           .
CH02;        2021;          36;12.09.2021;0-64    ;          45;          36;          21;          52;           .
CH02;        2021;          37;19.09.2021;0-64    ;          33;          36;          21;          52;           .
CH02;        2021;          38;26.09.2021;0-64    ;          32;          36;          21;          52;           .
CH02;        2021;          39;03.10.2021;0-64    ;          41;          36;          21;          52;           .
CH02;        2021;          40;10.10.2021;0-64    ;          38;          36;          21;          52;           .
CH02;        2021;          41;17.10.2021;0-64    ;          51;          37;          21;          52;           .
