"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2022-W08";"CH061";"Y75T79";"T";"P";5
"2022-W08";"CH061";"Y75T79";"F";"P";3
"2022-W08";"CH061";"Y75T79";"M";"P";2
"2022-W08";"CH061";"Y80T84";"T";"P";12
"2022-W08";"CH061";"Y80T84";"F";"P";6
"2022-W08";"CH061";"Y80T84";"M";"P";6
"2022-W08";"CH061";"Y85T89";"T";"P";15
"2022-W08";"CH061";"Y85T89";"F";"P";9
"2022-W08";"CH061";"Y85T89";"M";"P";6
"2022-W08";"CH061";"Y_GE90";"T";"P";19
"2022-W08";"CH061";"Y_GE90";"F";"P";11
"2022-W08";"CH061";"Y_GE90";"M";"P";8
"2022-W08";"CH062";"_T";"T";"P";10
"2022-W08";"CH062";"_T";"F";"P";5
"2022-W08";"CH062";"_T";"M";"P";5
"2022-W08";"CH062";"Y15T19";"T";"P";1
"2022-W08";"CH062";"Y15T19";"M";"P";1
"2022-W08";"CH062";"Y55T59";"T";"P";1
"2022-W08";"CH062";"Y55T59";"F";"P";1
"2022-W08";"CH062";"Y60T64";"T";"P";1
"2022-W08";"CH062";"Y60T64";"M";"P";1
"2022-W08";"CH062";"Y65T69";"T";"P";1
"2022-W08";"CH062";"Y65T69";"M";"P";1
"2022-W08";"CH062";"Y75T79";"T";"P";2
"2022-W08";"CH062";"Y75T79";"F";"P";1
"2022-W08";"CH062";"Y75T79";"M";"P";1
"2022-W08";"CH062";"Y80T84";"T";"P";1
"2022-W08";"CH062";"Y80T84";"F";"P";1
"2022-W08";"CH062";"Y_GE90";"T";"P";3
"2022-W08";"CH062";"Y_GE90";"F";"P";2
"2022-W08";"CH062";"Y_GE90";"M";"P";1
"2022-W08";"CH063";"_T";"T";"P";24
"2022-W08";"CH063";"_T";"F";"P";11
"2022-W08";"CH063";"_T";"M";"P";13
"2022-W08";"CH063";"Y0T4";"T";"P";1
"2022-W08";"CH063";"Y0T4";"F";"P";1
